Tipo,Descripcion,Habitaciones,Banos,Area,Barrio,UPZ,Valor,Moneda,Precio,Precio_Millon,Valor_m2_Millon,Valor_m2_Barrio
Apartamento,Apartamento en venta en La Calleja,2,2,82,La Calleja,USAQUÉN: Country Club + Santa Bárbara,$ 620.000.000,$,620000000,620.0,7.560975609756097,6.582907870377288
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 239.000.000,$,239000000,239.0,5.311111111111111,4.572008510026535
Casa,Casa en venta en Zona Noroccidental,3,6,380,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.600.000.000,$,1600000000,1600.0,4.2105263157894735,4.572008510026535
Apartamento,Apartamento en venta en Usaquén,1,2,50,Usaquén,Usaquén,$ 420.000.000,$,420000000,420.0,8.4,5.65558134903221
Apartamento,Apartamento en venta en Nicolas De Federman,3,2,89,Nicolas De Federman,Teusaquillo,$ 625.000.000,$,625000000,625.0,7.022471910112359,5.992745920204822
Casa,Casa en venta en Zona Noroccidental,3,5,365,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 2.799.000.000,$,2799000000,2799.0,7.668493150684932,4.572008510026535
Casa,Casa en venta en Zona Noroccidental,5,5,450,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.450.000.000,$,1450000000,1450.0,3.2222222222222223,4.572008510026535
Casa,Casa en venta en Zona Noroccidental,4,5,315,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 2.000.000.000,$,2000000000,2000.0,6.349206349206349,4.572008510026535
Apartamento,Apartamento en venta en Mazuren,3,3,102,Mazuren,El Prado,$ 670.000.000,$,670000000,670.0,6.568627450980392,3.8513890438469263
Casa,Casa en venta en Zona Noroccidental,4,6,423,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.800.000.000,$,1800000000,1800.0,4.25531914893617,4.572008510026535
Apartamento,Apartamento en venta en Suba,3,2,75,Suba,Suba,$ 469.000.000,$,469000000,469.0,6.253333333333333,4.323720522957072
Casa,Casa en venta en Zona Noroccidental,5,2,200,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 580.000.000,$,580000000,580.0,2.9,4.572008510026535
Apartamento,Apartamento en venta en Barrios Unidos,3,2,67,Barrios Unidos,Los Andes,$ 445.000.000,$,445000000,445.0,6.641791044776119,2.9599171141243064
Apartamento,Apartamento en venta en Usaquén,3,3,66,Usaquén,Usaquén,$ 261.500.000,$,261500000,261.5,3.962121212121212,5.65558134903221
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000,$,278000000,278.0,3.5641025641025643,4.572008510026535
Apartamento,Apartamento en venta en Engativa,3,2,60,Engativa,Engativá,$ 258.000.000,$,258000000,258.0,4.3,2.887769666800428
Apartamento,Apartamento en venta en Fontibón,3,3,87,Fontibón,Fontibón,$ 520.000.000,$,520000000,520.0,5.977011494252873,3.723021313477524
Casa,Casa en venta en Tintala,3,2,75,Tintala,Tintala,$ 200.000.000,$,200000000,200.0,2.6666666666666665,3.7991992442958873
